top,fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
330,9,knn,0.9381,0.94,0.9336,0.9333,0.9556,0.9407,0.8783,0.9079,0.8868,0.9321,0.9166,0.9321,0.919,0.9311
330,0,rf,0.9552,0.99,0.9714,0.9074,0.9556,0.9222,0.8333,0.8553,0.8399,0.9367,0.9035,0.9367,0.9162,0.9354
330,1,rf,0.9698,0.97,0.9694,0.9611,1.0,0.9719,0.8947,0.9079,0.8991,0.9548,0.9422,0.9548,0.9458,0.9539
330,2,rf,0.9818,0.99,0.9852,0.9185,0.9556,0.9296,0.9211,0.9342,0.9254,0.9638,0.948,0.9638,0.9533,0.9631
330,3,rf,0.9651,0.96,0.959,0.9296,0.9778,0.9444,0.8487,0.8816,0.8597,0.9367,0.9179,0.9367,0.9219,0.9355
330,4,rf,0.9651,0.98,0.9714,0.9519,1.0,0.9667,0.875,0.8816,0.8772,0.9502,0.9314,0.9502,0.938,0.9493
330,5,rf,0.9875,0.96,0.9725,0.9111,0.9778,0.9289,0.875,0.8947,0.8816,0.9412,0.9333,0.9412,0.9324,0.9402
330,6,rf,0.99,0.99,0.99,0.9185,0.9556,0.9296,0.8618,0.8947,0.8728,0.9502,0.9314,0.9502,0.9374,0.9493
330,7,rf,0.9833,1.0,0.9909,0.9278,0.9556,0.9348,0.8882,0.9079,0.8947,0.9593,0.9393,0.9593,0.9464,0.9586
330,8,rf,0.9727,0.98,0.9757,0.9296,0.9778,0.9444,0.8947,0.9079,0.8991,0.9548,0.9371,0.9548,0.943,0.9539
330,9,rf,0.9909,0.99,0.99,0.9119,0.9556,0.9222,0.875,0.8947,0.8816,0.9502,0.935,0.9502,0.9389,0.9494
330,0,svm,0.9578,0.99,0.9722,0.9185,0.9556,0.9296,0.8136,0.8421,0.8224,0.9321,0.9002,0.9321,0.912,0.9308
330,1,svm,0.9609,0.97,0.9652,0.9611,1.0,0.9719,0.8816,0.8947,0.886,0.9502,0.9337,0.9502,0.9393,0.9493
330,2,svm,0.9667,0.99,0.9766,0.9074,0.9556,0.9222,0.9211,0.9211,0.9211,0.9593,0.9389,0.9593,0.9464,0.9585
330,3,svm,0.954,0.97,0.9608,0.9148,0.9778,0.9333,0.8026,0.8289,0.8114,0.9231,0.894,0.9231,0.9038,0.9216
330,4,svm,0.9603,0.99,0.9726,0.963,1.0,0.9741,0.8553,0.8684,0.8596,0.9502,0.9247,0.9502,0.9341,0.9493
330,5,svm,0.9775,0.96,0.9678,0.9,0.9778,0.9215,0.8684,0.8816,0.8728,0.9367,0.9242,0.9367,0.9257,0.9356
330,6,svm,0.9809,0.99,0.9852,0.9296,0.9778,0.9444,0.875,0.8947,0.8816,0.9548,0.934,0.9548,0.9413,0.9539
330,7,svm,0.9742,1.0,0.9862,0.9167,0.9556,0.9274,0.9013,0.9079,0.9035,0.9593,0.9374,0.9593,0.9458,0.9586
330,8,svm,0.9651,0.98,0.9714,0.9296,0.9778,0.9444,0.9013,0.9079,0.9035,0.9548,0.936,0.9548,0.9425,0.9539
330,9,svm,0.9809,0.99,0.9852,0.9389,0.9778,0.9496,0.875,0.8947,0.8816,0.9548,0.9359,0.9548,0.9423,0.9539
